frames,x1,y1,x2,y2,class
frame0,349,169,412,246,gray_rubber_cylinder
frame0,58,149,129,220,yellow_rubber_cube
frame0,274,129,323,180,red_rubber_sphere
frame0,327,47,367,94,purple_metal_cylinder
frame1,349,169,412,246,gray_rubber_cylinder
frame1,58,149,129,220,yellow_rubber_cube
frame1,274,129,323,180,red_rubber_sphere
frame1,327,47,367,94,purple_metal_cylinder
frame2,349,169,412,246,gray_rubber_cylinder
frame2,58,149,129,220,yellow_rubber_cube
frame2,274,129,323,180,red_rubber_sphere
frame2,327,47,367,94,purple_metal_cylinder
frame3,349,169,412,246,gray_rubber_cylinder
frame3,58,149,129,220,yellow_rubber_cube
frame3,274,129,323,180,red_rubber_sphere
frame3,327,47,367,94,purple_metal_cylinder
frame4,349,169,412,246,gray_rubber_cylinder
frame4,58,148,129,220,yellow_rubber_cube
frame4,274,129,323,180,red_rubber_sphere
frame4,327,47,367,94,purple_metal_cylinder
frame5,349,169,412,246,gray_rubber_cylinder
frame5,58,148,129,220,yellow_rubber_cube
frame5,274,129,323,180,red_rubber_sphere
frame5,327,47,367,94,purple_metal_cylinder
frame6,349,169,412,246,gray_rubber_cylinder
frame6,58,148,129,220,yellow_rubber_cube
frame6,274,129,323,180,red_rubber_sphere
frame6,327,47,367,94,purple_metal_cylinder
frame7,349,169,412,246,gray_rubber_cylinder
frame7,58,148,129,220,yellow_rubber_cube
frame7,274,129,323,180,red_rubber_sphere
frame7,327,47,367,94,purple_metal_cylinder
frame8,349,169,412,246,gray_rubber_cylinder
frame8,58,148,129,220,yellow_rubber_cube
frame8,274,129,323,180,red_rubber_sphere
frame8,327,47,367,94,purple_metal_cylinder
frame9,349,169,412,246,gray_rubber_cylinder
frame9,58,148,129,220,yellow_rubber_cube
frame9,274,129,323,180,red_rubber_sphere
frame9,327,47,367,94,purple_metal_cylinder
frame10,349,169,412,246,gray_rubber_cylinder
frame10,58,148,129,220,yellow_rubber_cube
frame10,274,129,323,180,red_rubber_sphere
frame10,327,47,367,94,purple_metal_cylinder
frame11,349,169,412,246,gray_rubber_cylinder
frame11,58,148,129,220,yellow_rubber_cube
frame11,274,129,323,180,red_rubber_sphere
frame11,327,47,367,94,purple_metal_cylinder
frame12,349,169,412,246,gray_rubber_cylinder
frame12,58,148,129,220,yellow_rubber_cube
frame12,274,129,323,180,red_rubber_sphere
frame12,327,47,367,94,purple_metal_cylinder
frame13,349,169,412,246,gray_rubber_cylinder
frame13,58,148,129,220,yellow_rubber_cube
frame13,274,129,323,180,red_rubber_sphere
frame13,327,47,367,94,purple_metal_cylinder
frame14,349,169,412,246,gray_rubber_cylinder
frame14,58,148,129,220,yellow_rubber_cube
frame14,274,129,323,180,red_rubber_sphere
frame14,327,47,367,94,purple_metal_cylinder
frame15,349,169,412,246,gray_rubber_cylinder
frame15,58,148,129,220,yellow_rubber_cube
frame15,274,129,323,180,red_rubber_sphere
frame15,327,47,367,94,purple_metal_cylinder
frame16,349,169,412,246,gray_rubber_cylinder
frame16,58,148,129,220,yellow_rubber_cube
frame16,274,129,323,180,red_rubber_sphere
frame16,327,47,367,94,purple_metal_cylinder
frame17,349,169,411,246,gray_rubber_cylinder
frame17,58,148,129,220,yellow_rubber_cube
frame17,274,129,323,180,red_rubber_sphere
frame17,327,47,367,94,purple_metal_cylinder
frame17,407,270,479,320,gray_rubber_cube
frame18,349,169,412,246,gray_rubber_cylinder
frame18,58,148,129,220,yellow_rubber_cube
frame18,274,129,324,180,red_rubber_sphere
frame18,327,47,367,94,purple_metal_cylinder
frame18,400,261,477,320,gray_rubber_cube
frame19,349,169,412,246,gray_rubber_cylinder
frame19,58,148,129,220,yellow_rubber_cube
frame19,274,129,324,180,red_rubber_sphere
frame19,327,47,367,94,purple_metal_cylinder
frame19,394,253,468,320,gray_rubber_sphere
frame20,349,169,411,246,gray_rubber_cylinder
frame20,58,148,129,220,yellow_rubber_cube
frame20,274,129,323,179,red_rubber_sphere
frame20,389,246,461,317,gray_rubber_sphere
frame20,327,47,367,94,purple_metal_cylinder
frame21,350,169,411,246,gray_rubber_cylinder
frame21,58,148,129,220,yellow_rubber_cube
frame21,274,129,324,180,red_rubber_sphere
frame21,383,239,454,309,gray_rubber_sphere
frame21,327,47,367,94,purple_metal_cylinder
frame22,58,148,129,220,yellow_rubber_cube
frame22,274,129,324,179,red_rubber_sphere
frame22,349,169,412,246,gray_rubber_cylinder
frame22,327,47,367,94,purple_metal_cylinder
frame22,378,232,447,301,gray_rubber_sphere
frame23,58,148,129,220,yellow_rubber_cube
frame23,274,129,323,179,red_rubber_sphere
frame23,350,169,411,244,gray_rubber_cylinder
frame23,327,47,367,94,purple_metal_cylinder
frame23,372,224,440,293,gray_rubber_cube
frame23,350,169,410,244,gray_rubber_cube
frame23,372,225,440,294,gray_rubber_sphere
frame24,58,148,129,220,yellow_rubber_cube
frame24,274,129,324,180,red_rubber_sphere
frame24,327,47,367,94,purple_metal_cylinder
frame24,350,169,411,244,gray_rubber_cylinder
frame24,349,169,410,243,gray_rubber_cube
frame24,368,218,434,286,gray_rubber_sphere
frame25,58,148,129,220,yellow_rubber_cube
frame25,274,129,324,180,red_rubber_sphere
frame25,350,169,411,242,gray_rubber_cylinder
frame25,327,47,368,94,purple_metal_cylinder
frame25,363,212,428,277,gray_rubber_sphere
frame26,58,148,129,220,yellow_rubber_cube
frame26,274,129,324,180,red_rubber_sphere
frame26,327,47,367,94,purple_metal_cylinder
frame26,349,167,411,236,gray_rubber_cylinder
frame26,359,207,423,273,gray_rubber_sphere
frame27,58,148,129,220,yellow_rubber_cube
frame27,274,129,324,180,red_rubber_sphere
frame27,327,47,367,94,purple_metal_cylinder
frame27,347,163,408,233,gray_rubber_cylinder
frame27,356,206,420,271,gray_rubber_sphere
frame28,58,148,129,220,yellow_rubber_cube
frame28,274,129,324,180,red_rubber_sphere
frame28,327,47,367,94,purple_metal_cylinder
frame28,347,160,407,223,gray_rubber_cylinder
frame28,353,205,415,269,gray_rubber_sphere
frame29,58,148,129,220,yellow_rubber_cube
frame29,274,129,324,180,red_rubber_sphere
frame29,327,47,367,94,purple_metal_cylinder
frame29,345,156,405,219,gray_rubber_cylinder
frame29,350,203,412,267,gray_rubber_sphere
frame30,58,148,129,220,yellow_rubber_cube
frame30,274,129,324,180,red_rubber_sphere
frame30,345,153,404,213,gray_rubber_cylinder
frame30,327,47,367,94,purple_metal_cylinder
frame30,346,200,407,265,gray_rubber_sphere
frame31,58,148,129,220,yellow_rubber_cube
frame31,274,129,324,180,red_rubber_sphere
frame31,327,47,367,94,purple_metal_cylinder
frame31,343,149,402,212,gray_rubber_cylinder
frame31,343,198,404,263,gray_rubber_sphere
frame32,58,148,129,220,yellow_rubber_cube
frame32,274,129,324,180,red_rubber_sphere
frame32,327,47,367,94,purple_metal_cylinder
frame32,342,146,401,209,gray_rubber_cylinder
frame32,340,195,400,262,gray_rubber_sphere
frame33,58,148,129,220,yellow_rubber_cube
frame33,274,130,324,180,red_rubber_sphere
frame33,337,195,397,260,gray_rubber_sphere
frame33,341,142,399,207,gray_rubber_cylinder
frame33,327,47,367,94,purple_metal_cylinder
frame34,333,194,393,258,gray_rubber_sphere
frame34,340,139,397,205,gray_rubber_cylinder
frame34,58,148,129,220,yellow_rubber_cube
frame34,274,130,323,180,red_rubber_sphere
frame34,327,47,367,94,purple_metal_cylinder
frame35,330,195,390,256,gray_rubber_sphere
frame35,339,136,394,203,gray_rubber_cylinder
frame35,58,148,129,220,yellow_rubber_cube
frame35,274,130,323,179,red_rubber_sphere
frame35,327,48,367,94,purple_metal_cylinder
frame36,327,193,386,253,gray_rubber_sphere
frame36,339,134,393,199,gray_rubber_cylinder
frame36,58,148,129,220,yellow_rubber_cube
frame36,274,130,322,179,red_rubber_sphere
frame36,327,48,367,93,purple_metal_cylinder
frame37,324,192,383,252,gray_rubber_sphere
frame37,58,148,129,220,yellow_rubber_cube
frame37,338,132,392,195,gray_rubber_cylinder
frame37,275,130,321,179,red_rubber_sphere
frame37,327,48,367,93,purple_metal_cylinder
frame38,321,191,380,251,gray_rubber_sphere
frame38,58,148,129,220,yellow_rubber_cube
frame38,275,130,321,179,red_rubber_sphere
frame38,337,128,389,191,gray_rubber_cylinder
frame38,328,48,367,92,purple_metal_cylinder
frame39,318,189,376,249,gray_rubber_sphere
frame39,58,148,129,220,yellow_rubber_cube
frame39,337,126,388,187,gray_rubber_cylinder
frame39,275,130,321,179,red_rubber_sphere
frame39,327,48,367,92,purple_metal_cylinder
frame40,315,188,374,247,gray_rubber_sphere
frame40,58,148,129,220,yellow_rubber_cube
frame40,275,130,321,178,red_rubber_sphere
frame40,337,123,387,185,gray_rubber_cylinder
frame40,328,48,367,92,purple_metal_cylinder
frame41,312,187,370,246,gray_rubber_sphere
frame41,336,120,386,181,gray_rubber_cylinder
frame41,58,148,129,220,yellow_rubber_cube
frame41,275,130,322,178,red_rubber_sphere
frame41,327,48,367,92,purple_metal_cylinder
frame42,58,148,129,220,yellow_rubber_cube
frame42,309,185,366,245,gray_rubber_sphere
frame42,336,117,385,177,gray_rubber_cylinder
frame42,275,130,322,178,red_rubber_sphere
frame42,327,48,367,92,purple_metal_cylinder
frame43,306,184,363,242,gray_rubber_sphere
frame43,58,148,129,220,yellow_rubber_cube
frame43,275,130,322,178,red_rubber_sphere
frame43,335,115,383,174,gray_rubber_cylinder
frame43,327,48,367,92,purple_metal_cylinder
frame44,303,182,360,240,gray_rubber_sphere
frame44,58,148,129,220,yellow_rubber_cube
frame44,275,130,322,178,red_rubber_sphere
frame44,334,113,381,171,gray_rubber_cylinder
frame44,328,48,366,91,purple_metal_cylinder
frame45,301,181,357,240,gray_rubber_sphere
frame45,58,148,129,220,yellow_rubber_cube
frame45,275,130,321,178,red_rubber_sphere
frame45,333,109,381,168,gray_rubber_cylinder
frame45,328,48,366,91,purple_metal_cylinder
frame46,58,148,129,220,yellow_rubber_cube
frame46,275,130,321,178,red_rubber_sphere
frame46,332,108,379,165,gray_rubber_cylinder
frame46,328,48,366,91,purple_metal_cylinder
frame46,297,180,354,238,gray_rubber_sphere
frame47,58,148,129,220,yellow_rubber_cube
frame47,275,131,321,178,red_rubber_sphere
frame47,332,106,378,162,gray_rubber_cylinder
frame47,328,48,366,91,purple_metal_cylinder
frame47,295,179,351,236,gray_rubber_sphere
frame48,58,148,129,220,yellow_rubber_cube
frame48,275,130,321,178,red_rubber_sphere
frame48,328,48,365,90,purple_metal_cylinder
frame48,331,103,377,159,gray_rubber_cylinder
frame48,293,177,347,234,gray_rubber_sphere
frame49,331,102,375,157,gray_rubber_cylinder
