frames,x1,y1,x2,y2,class
frame0,131,44,175,87,green_rubber_cube
frame0,219,39,253,82,green_metal_cylinder
frame0,299,110,358,175,red_rubber_cube
frame1,131,44,175,87,green_rubber_cube
frame1,219,39,253,82,green_metal_cylinder
frame1,299,110,358,175,red_rubber_cube
frame2,131,44,175,87,green_rubber_cube
frame2,219,39,253,82,green_metal_cylinder
frame2,299,110,358,175,red_rubber_cube
frame3,131,44,175,87,green_rubber_cube
frame3,219,39,253,82,green_metal_cylinder
frame3,299,110,358,175,red_rubber_cube
frame4,131,44,175,87,green_rubber_cube
frame4,219,39,253,82,green_metal_cylinder
frame4,299,110,358,175,red_rubber_cube
frame5,131,44,175,87,green_rubber_cube
frame5,219,39,253,82,green_metal_cylinder
frame5,299,110,358,175,red_rubber_cube
frame6,131,43,175,87,green_rubber_cube
frame6,219,39,253,82,green_metal_cylinder
frame6,299,110,358,175,red_rubber_cube
frame7,131,44,175,87,green_rubber_cube
frame7,219,39,253,82,green_metal_cylinder
frame7,299,110,358,175,red_rubber_cube
frame8,131,43,175,87,green_rubber_cube
frame8,219,39,253,82,green_metal_cylinder
frame8,299,110,358,175,red_rubber_cube
frame9,131,43,175,87,green_rubber_cube
frame9,219,39,253,82,green_metal_cylinder
frame9,299,110,358,175,red_rubber_cube
frame10,131,44,175,87,green_rubber_cube
frame10,299,110,358,175,red_rubber_cube
frame10,219,39,253,82,green_metal_cylinder
frame11,131,44,175,87,green_rubber_cube
frame11,299,110,358,175,red_rubber_cube
frame11,219,39,253,82,green_metal_cylinder
frame11,463,110,479,172,brown_rubber_cylinder
frame12,131,44,175,87,green_rubber_cube
frame12,299,111,358,175,red_rubber_cube
frame12,219,39,253,82,green_metal_cylinder
frame12,455,112,479,171,brown_rubber_cube
frame13,131,43,175,87,green_rubber_cube
frame13,299,111,357,175,red_rubber_cube
frame13,219,39,253,82,green_metal_cylinder
frame13,448,112,479,172,brown_rubber_cube
frame14,440,112,479,174,brown_rubber_cube
frame14,131,43,175,87,green_rubber_cube
frame14,299,111,357,175,red_rubber_cube
frame14,219,39,253,82,green_metal_cylinder
frame15,432,112,479,174,brown_rubber_cube
frame15,131,43,175,87,green_rubber_cube
frame15,299,111,357,175,red_rubber_cube
frame15,219,39,253,82,green_metal_cylinder
frame16,425,113,479,174,brown_rubber_cube
frame16,131,43,175,87,green_rubber_cube
